2024-05-09 22:43:10,142 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Configure stats pid to 16897
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Loading settings from /content/drive/MyDrive/LINF/wandb/settings
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/content/drive/MyDrive/LINF/train.py', 'program': '/content/drive/MyDrive/LINF/train.py'}
2024-05-09 22:43:10,143 INFO    MainThread:16897 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:_log_setup():520] Logging user logs to /content/drive/MyDrive/LINF/wandb/run-20240509_224310-7yl6wucr/logs/debug.log
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:_log_setup():521] Logging internal logs to /content/drive/MyDrive/LINF/wandb/run-20240509_224310-7yl6wucr/logs/debug-internal.log
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:init():560] calling init triggers
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:init():610] starting backend
2024-05-09 22:43:10,144 INFO    MainThread:16897 [wandb_init.py:init():614] setting up manager
2024-05-09 22:43:10,148 INFO    MainThread:16897 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-09 22:43:10,149 INFO    MainThread:16897 [wandb_init.py:init():622] backend started and connected
2024-05-09 22:43:10,157 INFO    MainThread:16897 [wandb_init.py:init():711] updated telemetry
2024-05-09 22:43:10,187 INFO    MainThread:16897 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-09 22:43:10,480 INFO    MainThread:16897 [wandb_run.py:_on_init():2396] communicating current version
2024-05-09 22:43:10,605 INFO    MainThread:16897 [wandb_run.py:_on_init():2405] got version response 
2024-05-09 22:43:10,605 INFO    MainThread:16897 [wandb_init.py:init():795] starting run threads in backend
2024-05-09 22:43:11,042 INFO    MainThread:16897 [wandb_run.py:_console_start():2374] atexit reg
2024-05-09 22:43:11,042 INFO    MainThread:16897 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-09 22:43:11,043 INFO    MainThread:16897 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-09 22:43:11,043 INFO    MainThread:16897 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-09 22:43:11,046 INFO    MainThread:16897 [wandb_init.py:init():838] run started, returning control to user process
2024-05-09 22:44:51,869 WARNING MsgRouterThr:16897 [router.py:message_loop():77] message_loop has been closed
